"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2019,"10008",11,5,"Diumenge",2545
2019,"10008",12,1,"Dilluns",4651
2019,"10008",12,2,"Laborable",5040
2019,"10008",12,3,"Divendres",4779
2019,"10008",12,4,"Dissabte",3530
2019,"10008",12,5,"Diumenge",2874
2019,"10009",1,1,"Dilluns",7510
2019,"10009",1,2,"Laborable",7474
2019,"10009",1,3,"Divendres",8019
2019,"10009",1,4,"Dissabte",5808
2019,"10009",1,5,"Diumenge",4173
2019,"10009",2,1,"Dilluns",7493
2019,"10009",2,2,"Laborable",7626
2019,"10009",2,3,"Divendres",8068
2019,"10009",2,4,"Dissabte",5935
2019,"10009",2,5,"Diumenge",3886
2019,"10009",3,1,"Dilluns",7570
2019,"10009",3,2,"Laborable",7781
2019,"10009",3,3,"Divendres",8594
2019,"10009",3,4,"Dissabte",6254
2019,"10009",3,5,"Diumenge",4120
2019,"10009",4,1,"Dilluns",7084
2019,"10009",4,2,"Laborable",7338
2019,"10009",4,3,"Divendres",8018
2019,"10009",4,4,"Dissabte",5576
2019,"10009",4,5,"Diumenge",3539
2019,"10009",5,1,"Dilluns",7064
2019,"10009",5,2,"Laborable",7259
2019,"10009",5,3,"Divendres",8477
2019,"10009",5,4,"Dissabte",5965
2019,"10009",5,5,"Diumenge",4079
2019,"10009",6,1,"Dilluns",7037
2019,"10009",6,2,"Laborable",7432
2019,"10009",6,3,"Divendres",8144
2019,"10009",6,4,"Dissabte",5858
2019,"10009",6,5,"Diumenge",3702
2019,"10009",7,1,"Dilluns",6847
2019,"10009",7,2,"Laborable",7040
2019,"10009",7,3,"Divendres",7716
2019,"10009",7,4,"Dissabte",5092
2019,"10009",7,5,"Diumenge",3417
2019,"10009",8,1,"Dilluns",5260
2019,"10009",8,2,"Laborable",5424
2019,"10009",8,3,"Divendres",5810
2019,"10009",8,4,"Dissabte",4205
2019,"10009",8,5,"Diumenge",2946
2019,"10009",9,1,"Dilluns",7183
2019,"10009",9,2,"Laborable",7430
2019,"10009",9,3,"Divendres",7756
2019,"10009",9,4,"Dissabte",5556
2019,"10009",9,5,"Diumenge",3751
2019,"10009",10,1,"Dilluns",7067
2019,"10009",10,2,"Laborable",7236
2019,"10009",10,3,"Divendres",7195
2019,"10009",10,4,"Dissabte",5826
2019,"10009",10,5,"Diumenge",4064
2019,"10009",11,1,"Dilluns",6894
2019,"10009",11,2,"Laborable",7314
2019,"10009",11,3,"Divendres",8050
2019,"10009",11,4,"Dissabte",6249
2019,"10009",11,5,"Diumenge",4244
2019,"10009",12,1,"Dilluns",7639
2019,"10009",12,2,"Laborable",7935
2019,"10009",12,3,"Divendres",7986
2019,"10009",12,4,"Dissabte",5954
2019,"10009",12,5,"Diumenge",4287
2019,"1001",1,1,"Dilluns",32049
2019,"1001",1,2,"Laborable",33157
