"Any","Id_aforament","Mes","Codi_tipus_dia","Desc_tipus_dia","Valor_IMD"
2018,"10007",12,3,"Divendres","Mesura no disponible"
2018,"10007",12,4,"Dissabte","Mesura no disponible"
2018,"10007",12,5,"Diumenge","Mesura no disponible"
2018,"10008",1,1,"Dilluns",3479
2018,"10008",1,2,"Laborable",3830
2018,"10008",1,3,"Divendres",3695
2018,"10008",1,4,"Dissabte",2788
2018,"10008",1,5,"Diumenge",2736
2018,"10008",2,1,"Dilluns","Mesura no disponible"
2018,"10008",2,2,"Laborable","Mesura no disponible"
2018,"10008",2,3,"Divendres","Mesura no disponible"
2018,"10008",2,4,"Dissabte","Mesura no disponible"
2018,"10008",2,5,"Diumenge","Mesura no disponible"
2018,"10008",3,1,"Dilluns","Mesura no disponible"
2018,"10008",3,2,"Laborable","Mesura no disponible"
2018,"10008",3,3,"Divendres","Mesura no disponible"
2018,"10008",3,4,"Dissabte","Mesura no disponible"
2018,"10008",3,5,"Diumenge","Mesura no disponible"
2018,"10008",4,1,"Dilluns","Mesura no disponible"
2018,"10008",4,2,"Laborable","Mesura no disponible"
2018,"10008",4,3,"Divendres","Mesura no disponible"
2018,"10008",4,4,"Dissabte","Mesura no disponible"
2018,"10008",4,5,"Diumenge","Mesura no disponible"
2018,"10008",5,1,"Dilluns","Mesura no disponible"
2018,"10008",5,2,"Laborable","Mesura no disponible"
2018,"10008",5,3,"Divendres","Mesura no disponible"
2018,"10008",5,4,"Dissabte","Mesura no disponible"
2018,"10008",5,5,"Diumenge","Mesura no disponible"
2018,"10008",6,1,"Dilluns","Mesura no disponible"
2018,"10008",6,2,"Laborable","Mesura no disponible"
2018,"10008",6,3,"Divendres","Mesura no disponible"
2018,"10008",6,4,"Dissabte","Mesura no disponible"
2018,"10008",6,5,"Diumenge","Mesura no disponible"
2018,"10008",7,1,"Dilluns",3872
2018,"10008",7,2,"Laborable",3995
2018,"10008",7,3,"Divendres",4293
2018,"10008",7,4,"Dissabte",4057
2018,"10008",7,5,"Diumenge",2594
2018,"10008",8,1,"Dilluns",2704
2018,"10008",8,2,"Laborable",2925
2018,"10008",8,3,"Divendres",2860
2018,"10008",8,4,"Dissabte",2224
2018,"10008",8,5,"Diumenge",1979
2018,"10008",9,1,"Dilluns","Mesura no disponible"
2018,"10008",9,2,"Laborable","Mesura no disponible"
2018,"10008",9,3,"Divendres","Mesura no disponible"
2018,"10008",9,4,"Dissabte","Mesura no disponible"
2018,"10008",9,5,"Diumenge","Mesura no disponible"
2018,"10008",10,1,"Dilluns",3775
2018,"10008",10,2,"Laborable",3723
2018,"10008",10,3,"Divendres",3928
2018,"10008",10,4,"Dissabte",2821
2018,"10008",10,5,"Diumenge",2230
2018,"10008",11,1,"Dilluns","Mesura no disponible"
2018,"10008",11,2,"Laborable","Mesura no disponible"
2018,"10008",11,3,"Divendres","Mesura no disponible"
2018,"10008",11,4,"Dissabte","Mesura no disponible"
2018,"10008",11,5,"Diumenge","Mesura no disponible"
2018,"10008",12,1,"Dilluns",3868
2018,"10008",12,2,"Laborable",4131
2018,"10008",12,3,"Divendres",3635
2018,"10008",12,4,"Dissabte",3170
2018,"10008",12,5,"Diumenge",2422
2018,"10009",1,1,"Dilluns",7310
2018,"10009",1,2,"Laborable",7520
