"Id_aforament","Desc_aforament","Codi_tipus_aforament","Desc_tipus_aforament","Num_carrils","Codi_districte","Codi_barri","Codi_tipus_equip_mesura","Desc_tipus_equip_mesura","Longitud","Latitud","X_ETRS89","Y_ETRS89"
"20117","LONDRES - VILLARROEL (carril BICI)",2,"Bicis",1,2,8,1,"Espira",2.14735778410015,41.3908665509926,428716.439,4582499.125
"20118","LONDRES - COMTE URGELL (carril BICI)",2,"Bicis",1,2,8,1,"Espira",2.14701253307543,41.3905960189867,428687.281,4582469.382
"20119","PARIS - ARIBAU (carril BICI)",2,"Bicis",1,2,8,1,"Espira",2.152467325,41.39309299,429146.036,4582742.129
"20120","PARIS - ENRIC GRANADOS (carril BICI)",2,"Bicis",1,2,8,1,"Espira",2.15350926,41.3938856799999,429234.003,4582829.281
"20121","PARIS - COMTE BORRELL (carril BICI)",2,"Bicis",1,2,8,1,"Espira",2.14787915785772,41.3896493567185,428758.704,4582363.574
"20122","PARIS - COMTE URGELL (carril BICI)",2,"Bicis",1,2,8,1,"Espira",2.14852566354901,41.3901338821992,428813.276,4582416.826
"20123","PARIS - ROCAFORT (carril BICI)",2,"Bicis",1,2,9,1,"Espira",2.14458770755208,41.3871704800595,428480.798,4582091.08399998
"20124","PARIS - CALABRIA (carril BICI)",2,"Bicis",1,2,9,1,"Espira",2.14514292272583,41.3875897621409,428527.684,4582137.166
"20125","BORI I FONTESTA - CAN RABIA (carril BICI sentit Besòs)",2,"Bicis",1,5,24,1,"Espira",2.13540952999013,41.3922035470509,427719.005,4582657.461
"20126","BORI I FONTESTA - DOCTOR FLEMING (carril BICI sentit Llobregat)",2,"Bicis",1,5,24,1,"Espira",2.13538519108834,41.3922078679076,427716.968999998,4582657.956
"20127","BORI I FONTESTA - GANDUXER (carril BICI sentit Llobregat)",2,"Bicis",1,5,24,1,"Espira",2.13616906836127,41.3923940856093,427782.707999998,4582677.98
"20128","Bori i Fontesta - Doctor Fleming (carril BICI sentit Besòs)",2,"Bicis",1,5,24,1,"Espira",2.13618893989347,41.3923838761784,427784.358,4582676.825
"20129","DOCTOR FLEMING - SARRIA (carril BICI sentit muntanya)",2,"Bicis",1,5,24,1,"Espira",2.13598632729306,41.3920305222313,427764.772999998,4582638.52599999
"20130","Doctor Fleming - Bori i Fontesta  (carril BICI sentit mar)",2,"Bicis",1,5,24,1,"Espira",2.13597863751547,41.3920150616739,427763.677,4582636.849
"20131","AV.DIAGONAL - SARRIÀ (carril BICI sentit Besòs)",2,"Bicis",1,4,19,1,"Espira",2.13870563367994,41.3914771324329,427993.755999999,4582574.065
"20132","AV. DIAGONAL - GANDUXER (carril BICI sentit Llobregat)",2,"Bicis",1,4,19,1,"Espira",2.13871986286411,41.3914956142341,427994.972999999,4582576.108
"20133","GANDUXER - AV. DIAGONAL (carril BICI sentit muntanya)",2,"Bicis",1,4,19,1,"Espira",2.13910041897475,41.3918802899117,428027.211,4582618.502
"20134","GANDUXER - BORI I FONTESTA (carril BICI sentit baixada)",2,"Bicis",1,4,19,1,"Espira",2.1390848240717,41.3918655810873,428025.885999999,4582616.883
"20135","GANDUXER - TRES TORRES (carril BICI)",2,"Bicis",1,5,26,1,"Espira",2.13552210482546,41.3974924192742,427734.268999998,4583244.53299998
"20136","GANDUXER - PL. SANT GREGORI TAUMATURGO (carril BICI sentit mar)",2,"Bicis",1,5,26,1,"Espira",2.13815517697961,41.3939492604943,427950.465,4582848.984
"20137","GANDUXER - BORI I FONTESTA (carril BICI sentit pujada)",2,"Bicis",1,5,26,1,"Espira",2.13816729527576,41.3939645739238,427951.504,4582850.673
"20138","SARDENYA - VALENCIA (carril BICI)",2,"Bicis",1,2,6,1,"Espira",2.17579860190754,41.401582478181,431105.516,4583665.786
"20139","SARDENYA - DIPUTACIÓ (carril BICI)",2,"Bicis",1,2,5,1,"Espira",2.17916187190147,41.3990383951194,431383.983999999,4583380.67599998
"20140","SARDENYA - MERIDIANA (carril BICI)",2,"Bicis",1,10,66,1,"Espira",2.18721841785137,41.3929473384909,432016.198,4582789.528
"20141","SARDENYA - ALMOGAVERS (carril BICI)",2,"Bicis",1,2,5,1,"Espira",2.18655046336043,41.3934479393022,431905.323,4582845.911
"20142","SARDENYA - ROSSELLÓ (carril BICI)",2,"Bicis",1,2,6,1,"Espira",2.17234777365905,41.404189424292,430819.831,4583957.95899998
"20143","SARDENYA - CONSELL DE CENT (carril BICI)",2,"Bicis",1,2,5,1,"Espira",2.17811872201217,41.3998268506506,431297.608,4583469.04299999
"20144","AV. DIAGONAL - MARINA (carril BICI)",2,"Bicis",1,2,6,1,"Espira",2.17722362541419,41.4007973159001,431222.64,4583575.88
"20145","TAULAT-SANT FRANCESC (carril BICI)",2,"Bicis",1,10,68,1,"Espira",2.2047608666463,41.3986800644438,433523.523999998,4583320.93699998
"20146","SARDENYA - AV. DIAGONAL (carril BICI)",2,"Bicis",1,2,6,1,"Espira",2.17712494251938,41.4005782685719,431215.327999998,4583553.252
"20147","C/MARINA - TRAV. GRACIA (carril BICI)",2,"Bicis",1,7,33,1,"Espira",2.16905129973365,41.4085948224378,430548.977,4584449.67499998
"20148","AV. DIAGONAL - ARAGÓ (carril BICI)",2,"Bicis",1,2,6,1,"Espira",2.17666576457412,41.4006477642216,431177.018999998,4583561.33
"20149","AV. EXÈRCIT - ALFAMBRA (carril BICI sentit Llobregat)",2,"Bicis",1,4,21,1,"Espira",2.11202768832658,41.3868814782215,425758.164999998,4582086.37799999
"20150","AV. EXÈRCIT - GRAN CAPITÀ (carril BICI sentit Besòs)",2,"Bicis",1,4,21,1,"Espira",2.11204804073804,41.3868624493229,425759.846,4582084.252
"20151","GRAN CAPITÀ - AV. EXÈRCIT (carril BICI sentit muntanya)",2,"Bicis",1,4,21,1,"Espira",2.11170571683108,41.386846115683,425731.213999998,4582082.73199998
"20152","GRAN CAPITÀ - SOR EULÀLIA D'ANZIZU (carril BICI - sentit mar)",2,"Bicis",1,4,21,1,"Espira",2.1117066611756,41.3868294591101,425731.273999998,4582080.87999998
"20153","AV. EXÈRCIT - GRAN CAPITÀ (carril BICI sentit Llobregat)",2,"Bicis",1,4,21,1,"Espira",2.11061926903678,41.3852286242946,425638.527999999,4581904.09399999
"20154","AV. EXÈRCIT - GONZALEZ TABLAS (carril BICI sentit Besòs)",2,"Bicis",1,4,21,1,"Espira",2.11058642023925,41.3852255780633,425635.78,4581903.775
"20155","TENOR VIÑAS - CALVET (carril BICI sentit Llobregat)",2,"Bicis",1,5,26,1,"Espira",2.14237279058503,41.3952483088507,428304.492,4582989.696
"20156","TENOR VIÑAS - FERRAN AGULLÓ (carril BICI sentit Besòs)",2,"Bicis",1,5,26,1,"Espira",2.14237850802663,41.395231957835,428304.945999999,4582987.87999998
"20157","DOCTOR FLEMING - SANTA FE DE NOU MEXIC (carril BICI)",2,"Bicis",1,5,24,1,"Espira",2.13523203450967,41.393547391976,427705.128,4582805.20999998
"20158","DOCTOR FLEMING - BORI I FONTESTA (carril BICI - sentit muntanya)",2,"Bicis",1,5,24,1,"Espira",2.13524417591583,41.3935609043884,427706.661,4582806.059
"20159","BORI I FONTESTA - BEETHOVEN (carril BICI sentit mar)",2,"Bicis",1,5,26,1,"Espira",2.13902729994367,41.3931248486071,428022.473999999,4582756.728
