"Id_aforament","Desc_aforament","Codi_tipus_aforament","Desc_tipus_aforament","Num_carrils","Codi_districte","Codi_barri","Codi_tipus_equip_mesura","Desc_tipus_equip_mesura","Longitud","Latitud","X_ETRS89","Y_ETRS89"
"62-SMD-2","ACCÉS RONDA LITORAL DESDE C58/C33 (Llobregat) ",3,"Rondes",2,0,0,1,"Espira",2.195119064,41.451748982,432772.29,4589220.06
"62-SMD-3","B10  - B20 (PK 0)",3,"Rondes",2,0,0,1,"Espira",2.19803287,41.449759044,433013.62,4588996.87
"62-SMD-4","B20 - B10 (PK 0)",3,"Rondes",2,0,0,1,"Espira",2.199064259,41.448784915,433098.77,4588887.93
"6-SMD-1","RONDA DE DALT - PL. KARL MARX (Llobregat)",3,"Rondes",3,0,0,1,"Espira",2.162378306,41.440213118,430025.20,4587965.30
"6-SMD-2","RONDA DE DALT - PL. KARL MARX (Trinitat)",3,"Rondes",3,0,0,1,"Espira",2.16270292,41.440153663,430052.25,4587958.44
"7001","ESCÒCIA - MALGRAT (sentit mar)",1,"Trànsit",3,8,44,1,"Espira",2.180422568,41.428670364,431520.49,4586669.40
"7004","MALLORCA - BISCAIA (sentit Llobregat)",1,"Trànsit",3,10,65,1,"Espira",2.189822421,41.414288538,432290.96,4585065.35
"7006","SANT ANTONI MARIA CLARET - ESPRONCEDA (sentit Llobregat)",1,"Trànsit",2,9,63,1,"Espira",2.18530031,41.419338807,431918.31,4585629.57
"7007","AV. MERIDIANA - CONSELL DE CENT (Entrada)",1,"Trànsit",1,10,65,1,"Espira",2.186680571,41.406319076,432020.08,4584183.05
"7011","AV. MERIDIANA  - ROSSELLÓ I PORCEL (Sortida)",1,"Trànsit",3,8,45,2,"Infraroig",2.184358021,41.436297355,431857.30,4587513.04
"7014","AV. RIO JANEIRO - ARGULLÓS (Llobregat)",1,"Trànsit",1,8,52,1,"Espira",2.182854493,41.440235283,431735.81,4587951.41
"7015","AV. RIO JANEIRO - JOAQUIM VALLS (Besòs)",1,"Trànsit",2,8,52,1,"Espira",2.184496966,41.441484351,431874.33,4588088.79
"7016","CONCEPCIÓ ARENAL - CIENFUEGOS (sentit Llobregat)",1,"Trànsit",2,9,61,1,"Espira",2.18403425,41.423744218,431817.11,4586119.65
"7017","AV. MERIDIANA - CLOT (Sortida)",1,"Trànsit",2,10,65,1,"Espira",2.187060021,41.406326936,432051.80,4584183.63
"7018","PG. SANTA COLOMA - PG. TORRAS I BAGES (Llobregat) ",1,"Trànsit",1,9,60,1,"Espira",2.189621405,41.44495419,432306.03,4588469.99
"7019","PG. SANTA COLOMA - CTRA. DE RIBES (Besòs)",1,"Trànsit",2,9,60,1,"Espira",2.189686588,41.444916158,432311.43,4588465.71
"7020","PG. FABRA I PUIG - VÈLIA (sentit muntanya)",1,"Trànsit",3,8,44,1,"Espira",2.180448742,41.4302232,431524.31,4586841.78
"7021","NAVAS DE TOLOSA - JOSEP ESTIVILL (sentit mar)",1,"Trànsit",4,10,64,1,"Espira",2.184897347,41.416784923,431881.96,4585346.36
"7022","AV. MERIDIANA - RIO DE JANEIRO (Entrada)",1,"Trànsit",3,8,52,1,"Espira",2.186060655,41.442070855,432005.57,4588152.67
"7023","AV. MERIDIANA - PG. SANTA COLOMA (Sortida)",1,"Trànsit",3,9,60,1,"Espira",2.187191817,41.445082361,432103.21,4588486.12
"7024","PG. VALLDAURA - SANT FRANCESC XAVIER (Pujada)",1,"Trànsit",3,8,45,1,"Espira",2.179743409,41.439066401,431474.68,4587824.10
"7025","PG. VALLDAURA - ESCULTOR ORDOÑEZ (Baixada)",1,"Trànsit",2,8,45,1,"Espira",2.179768247,41.438989271,431476.67,4587815.52
"7026","PG. FABRA I PUIG - AV. MERIDIANA (sentit muntanya)",1,"Trànsit",4,9,60,1,"Espira",2.184228242,41.430180355,431840.06,4586834.04
"7027","PG. TORRAS I BAGES - RESIDÈNCIA (Besòs)",1,"Trànsit",2,9,60,1,"Espira",2.191018447,41.440322202,432417.92,4587954.65
"7028","PG. TORRAS I BAGES - RESIDÈNCIA (Llobregat)",1,"Trànsit",2,9,60,1,"Espira",2.190912502,41.440305458,432409.05,4587952.88
"7029","VIA JÚLIA - FRANCESC XAVIER (sentit muntanya)",1,"Trànsit",1,8,52,1,"Espira",2.178374667,41.44273997,431364.20,4588233.02
"7030","VIA JÚLIA - BATLLORI (sentit mar)",1,"Trànsit",1,8,52,1,"Espira",2.178063868,41.442927342,431338.44,4588254.07
"7031","FABRA I PUIG - CANIGÓ (Besòs)",1,"Trànsit",2,7,43,1,"Espira",2.163511208,41.434181581,430113.37,4587294.77
"7032","FABRA I PUIG - CANIGÓ (Llobregat)",1,"Trànsit",2,7,43,1,"Espira",2.163422853,41.434194788,430106.00,4587296.30
"7033","VALÈNCIA - TER (sentit Besòs)",1,"Trànsit",3,10,65,1,"Espira",2.187922267,41.411164752,432128.91,4584720.04
"7035","FELIP II - AV. MERIDIANA (sentit muntanya)",1,"Trànsit",3,9,63,1,"Espira",2.186235222,41.420924878,431998.09,4585804.92
"7036","DUBLÍN - CONCEPCIÓ ARENAL (sentit Besòs)",1,"Trànsit",2,9,60,1,"Espira",2.185260327,41.428653039,431924.69,4586663.66
"7037","MERIDIANA - VALÈNCIA (sortida)",1,"Trànsit",4,10,64,1,"Espira",2.186999,41.410514,432050.05,4584645.76
"7038","MERIDIANA - VALÈNCIA (entrada)",1,"Trànsit",3,10,64,1,"Espira",2.186719,41.408396,432025.27,4584421.84
"7039","AV. MERIDIANA - ROSSELLÓ I PORCEL (sentit Llobregat)",1,"Trànsit",5,8,45,1,"Espira",2.184358021,41.436297355,431857.30,4587513.04
"8001","TRAVESSERA DE GRÀCIA - BALMES (sentit Besòs)",1,"Trànsit",3,5,26,1,"Espira",2.152265021,41.397831626,429134.27,4583268.37
"8002","GANDUXER - VALERO (sentit muntanya)",1,"Trànsit",3,5,26,1,"Espira",2.136224974,41.396703115,427792.15,4583156.33
"8003","RDA. GENERAL MITRE - SARAGOSSA (Besòs)",1,"Trànsit",3,5,27,1,"Espira",2.144507364,41.405439542,428494.11,4584119.36
"8004","BALMES - COPÈRNIC (Baixada)",1,"Trànsit",3,5,26,1,"Espira",2.145353723,41.40235993,428561.48,4583776.77
"8005","BALMES - COPÈRNIC (Pujada)",1,"Trànsit",2,5,26,1,"Espira",2.144102036,41.402960273,428457.51,4583844.45
"8008","RDA. GENERAL MITRE - GANDUXER (Besòs)",1,"Trànsit",2,5,24,1,"Espira",2.134592957,41.399714939,427659.06,4583492.06
"8009","RDA. GENERAL MITRE - TORRAS I PUJALT (Llobregat)",1,"Trànsit",2,5,25,1,"Espira",2.134595545,41.399865884,427659.44,4583508.81
"8010","BALMES - PLAÇA J. FOLGUERA (Baixada)",1,"Trànsit",3,5,23,1,"Espira",2.140153527,41.404725667,428129.40,4584043.71
"8011","RDA. GENERAL MITRE - BALLESTER (Llobregat)",1,"Trànsit",3,5,27,1,"Espira",2.144892663,41.405605907,428526.49,4584137.52
"8012","VIA AUGUSTA - VERGÓS (Baixada)",1,"Trànsit",3,5,24,1,"Espira",2.128817385,41.397749761,427174.07,4583278.72
"8013","PG. BONANOVA - IRADIER (Llobregat)",1,"Trànsit",2,5,24,1,"Espira",2.126521036,41.402779293,426987.74,4583839.03
"8014","PG. BONANOVA - IRADIER (Besòs)",1,"Trànsit",2,5,24,1,"Espira",2.127166116,41.403110517,427042.03,4583875.26
"8015","VIA AUGUSTA - MODOLELL (Pujada)",1,"Trànsit",3,5,23,1,"Espira",2.137051663,41.397817713,427862.49,4583279.38
"8016","VIA AUGUSTA - AMIGÓ (Baixada)",1,"Trànsit",2,5,23,2,"Infraroig",2.141563891,41.398140808,428240.05,4583311.50
"8017","MUNTANER - COPÈRNIC (sentit mar)",1,"Trànsit",2,5,26,1,"Espira",2.140755124,41.400702128,428175.26,4583596.53
"8018","MUNTANER - AVENIR (sentit mar)",1,"Trànsit",2,5,26,1,"Espira",2.147293419,41.395792868,428716.44,4583046.11
"8019","ARIBAU - MADRAZO (sentit muntanya)",1,"Trànsit",3,5,26,1,"Espira",2.146377917,41.398636602,428643.01,4583362.57
"8020","AV. PRÍNCEP D'ASTÚRIES - PTGE. MULET (Baixada)",1,"Trànsit",2,5,27,1,"Espira",2.150351527,41.402462378,428979.35,4583784.04
"8021","TRAVESSERA DE DALT - GRANJA (Llobregat)",1,"Trànsit",3,6,30,1,"Espira",2.153480181,41.409034854,429248.00,4584511.14
"8023","VIA AUGUSTA - PG. BONANOVA (Sortida)",1,"Trànsit",2,5,23,2,"Infraroig",2.123090314,41.400549459,426698.46,4583594.37
"8026","VIA AUGUSTA - DOCTOR ROUX (Baixada)",1,"Trànsit",3,5,24,1,"Espira",2.130691457,41.397735675,427330.72,4583275.59
